F-Score: [0.86784833 0.72366791 0.66211604]
Racism in-category accuracy: 0.7849462365591398
Sexism in-category accuracy: 1.2516129032258065
Non-Bullying in-category accuracy: 0.8688230008984726
F-Score: [0.87127401 0.75694444 0.63087248]
Racism in-category accuracy: 0.8114143920595533
Sexism in-category accuracy: 1.0544871794871795
Non-Bullying in-category accuracy: 0.9005020538566865
F-Score: [0.87524666 0.73488372 0.64630542]
Racism in-category accuracy: 0.7651331719128329
Sexism in-category accuracy: 1.086092715231788
Non-Bullying in-category accuracy: 0.906860517946388
F-Score: [0.87777294 0.74550129 0.6490566 ]
Racism in-category accuracy: 0.7341772151898734
Sexism in-category accuracy: 1.1409618573797677
Non-Bullying in-category accuracy: 0.909009009009009
F-Score: [0.88024211 0.75097784 0.6442953 ]
Racism in-category accuracy: 0.7272727272727273
Sexism in-category accuracy: 1.068362480127186
Non-Bullying in-category accuracy: 0.9284085727314182
F-Score: [0.8773362  0.7450495  0.61870504]
Racism in-category accuracy: 0.7487562189054726
Sexism in-category accuracy: 1.015177065767285
Non-Bullying in-category accuracy: 0.918578497525866
F-Score: [0.87172659 0.74538745 0.65890779]
Racism in-category accuracy: 0.7556109725685786
Sexism in-category accuracy: 1.2225913621262459
Non-Bullying in-category accuracy: 0.8866817155756208
F-Score: [0.87538394 0.72959184 0.66179159]
Racism in-category accuracy: 0.7096774193548387
Sexism in-category accuracy: 1.1772357723577236
Non-Bullying in-category accuracy: 0.9068181818181819
F-Score: [0.87659762 0.74300254 0.65827338]
Racism in-category accuracy: 0.7704485488126649
Sexism in-category accuracy: 1.1825525040387723
Non-Bullying in-category accuracy: 0.8959459459459459
F-Score: [0.87876106 0.75220126 0.67082962]
Racism in-category accuracy: 0.7952127659574468
Sexism in-category accuracy: 1.1823899371069182
Non-Bullying in-category accuracy: 0.900271985494107
F-Score: [0.87915937 0.7456446  0.65342602]
Racism in-category accuracy: 0.7925925925925926
Sexism in-category accuracy: 1.0786885245901638
Non-Bullying in-category accuracy: 0.911484339536995
F-Score: [0.87916847 0.72606383 0.65666041]
Racism in-category accuracy: 0.728
Sexism in-category accuracy: 1.1532125205930808
Non-Bullying in-category accuracy: 0.907871198568873
F-Score: [0.87687949 0.74141876 0.64542652]
Racism in-category accuracy: 0.8079800498753117
Sexism in-category accuracy: 1.0790378006872852
Non-Bullying in-category accuracy: 0.9002237136465324
F-Score: [0.87108488 0.7654321  0.6690079 ]
Racism in-category accuracy: 0.8119047619047619
Sexism in-category accuracy: 1.1759259259259258
Non-Bullying in-category accuracy: 0.8925581395348837
F-Score: [0.85955698 0.72445019 0.66666667]
Racism in-category accuracy: 0.8
Sexism in-category accuracy: 1.3312597200622085
Non-Bullying in-category accuracy: 0.8458426966292135
F-Score: [0.87788068 0.73225405 0.62828283]
Racism in-category accuracy: 0.7716535433070866
Sexism in-category accuracy: 1.0113821138211383
Non-Bullying in-category accuracy: 0.9171917191719172
F-Score: [0.86422561 0.7497006  0.66445183]
Racism in-category accuracy: 0.8258575197889182
Sexism in-category accuracy: 1.3333333333333333
Non-Bullying in-category accuracy: 0.8485931219294328
F-Score: [0.86984957 0.69028871 0.65869365]
Racism in-category accuracy: 0.7050938337801609
Sexism in-category accuracy: 1.1437699680511182
Non-Bullying in-category accuracy: 0.8990536277602523
F-Score: [0.88197662 0.76606061 0.6716141 ]
Racism in-category accuracy: 0.7651331719128329
Sexism in-category accuracy: 1.1966942148760331
Non-Bullying in-category accuracy: 0.9086363636363637
F-Score: [0.88407699 0.76631079 0.66013712]
Racism in-category accuracy: 0.8054862842892768
Sexism in-category accuracy: 1.1103789126853376
Non-Bullying in-category accuracy: 0.9144796380090497
F-Score: [0.86987522 0.75719217 0.64874884]
Racism in-category accuracy: 0.8245614035087719
Sexism in-category accuracy: 1.1419249592169658
Non-Bullying in-category accuracy: 0.8848594741613781
F-Score: [0.87022222 0.71683673 0.66666667]
Racism in-category accuracy: 0.741424802110818
Sexism in-category accuracy: 1.2778702163061564
Non-Bullying in-category accuracy: 0.8748882931188561
F-Score: [0.87397497 0.72527473 0.62569832]
Racism in-category accuracy: 0.7436619718309859
Sexism in-category accuracy: 1.0752
Non-Bullying in-category accuracy: 0.9048257372654156
F-Score: [0.87472333 0.73643411 0.66783217]
Racism in-category accuracy: 0.776566757493188
Sexism in-category accuracy: 1.2146263910969792
Non-Bullying in-category accuracy: 0.8892889288928892
F-Score: [0.87043796 0.77832512 0.67580645]
Racism in-category accuracy: 0.7821782178217822
Sexism in-category accuracy: 1.3386581469648562
Non-Bullying in-category accuracy: 0.8720292504570384
